FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1941,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.25E-08,0.6,2693.347
1942,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000013,0.6,1654.827
1943,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,1.35E-08,0.6,1712.856
1944,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000014,0.6,1768.884
1945,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000016,0.6,1996.999
1946,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,1.65E-08,0.6,2055.028
1947,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000017,0.6,2111.055
1948,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,1.75E-08,0.6,2167.083
1949,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000018,0.6,2221.111
1950,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.05E-08,0.6,2493.247
1951,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000021,0.6,2545.273
1952,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.15E-08,0.6,2595.298
1953,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.35E-08,0.6,2793.397
1954,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000024,0.6,2839.42
1955,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000023,0.6,2743.372
1956,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.35E-08,0.6,2791.396
1957,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.55E-08,0.6,2983.492
1958,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000026,0.6,3027.514
1959,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.45E-08,0.6,2889.445
1960,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000025,0.6,2937.469
1961,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,2.65E-08,0.6,3073.537
1962,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000027,0.6,3117.559
1963,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.05E-08,0.6,1284.642
1964,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000011,0.6,1340.67
1965,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000016,0.6,1876.938
1966,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.65E-08,0.6,1928.964
1967,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000017,0.6,1980.99
1968,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.11E-08,0.6,1354.677
1969,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.15E-08,0.6,1394.697
1970,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000012,0.6,1448.724
1971,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.25E-08,0.6,1500.75
1972,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000013,0.6,1554.777
1973,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.35E-08,0.6,1608.804
1974,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000014,0.6,1662.831
1975,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.45E-08,0.6,1716.858
1976,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000015,0.6,1770.885
1977,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.55E-08,0.6,1822.911
1978,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000009,0.6,1118.559
1979,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,9.50E-09,0.6,1174.587
1980,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.00000001,0.6,1230.615
1981,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000025,0.6,2715.358
1982,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.75E-08,0.6,2031.016
1983,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000018,0.6,2081.041
1984,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.85E-08,0.6,2131.065
1985,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000019,0.6,2179.09
1986,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,1.95E-08,0.6,2225.113
1987,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.00000002,0.6,2261.131
1988,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000022,0.6,2461.231
1989,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,2.25E-08,0.6,2505.253
1990,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000023,0.6,2547.274
1991,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,2.35E-08,0.6,2591.296
1992,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000024,0.6,2633.317
1993,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,2.45E-08,0.6,2673.337
1994,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000027,0.6,2877.439
1995,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,2.55E-08,0.6,2757.379
1996,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,0.000000026,0.6,2797.399
1997,69,21,2185.101026,1.43666226,1.99373995,424.79497,460.2436546,1091.439487,2.65E-08,0.6,2837.419
